,interview,actual_result,expected_result
329,It's a deserved defeat. We didn't deserve it. We weren't the better team. We weren't the better team. We weren't the better team.,regular loss,regular loss
330,I am not satisfied. We have to be much better than the last opponent. In the first half we played a really good game. The last pass was missing. We have to improve and we have to improve every minute. The defeat is deserved.,regular loss,regular loss
331,"We got into the game well. We had the chance to take a point with us, but we were too imprecise in the last third. In the end, we are very satisfied.",regular loss,regular loss
332,"We are of course disappointed. In the end, of course, we weren't good. We had too many chances in the second half.",regular loss,regular loss
333,"We had a very good week of training. It was a very good start to the season. We have a lot of potential, it's great that we're all here.",regular loss,regular loss
334,"We got into the game really well in the first half, but the crux of the matter was the 0: 1. We didn't make it through the times well, which of course annoys me a lot.",regular loss,regular loss
335,We were a little lucky in one or the other situation. But we still got a few hundred percent chances. The win is deserved in the end.,regular loss,regular loss
336,We are disappointed. We had a lot of control in the first half. After the break we got better and were 2-1 down. It was a very difficult game. The goal we conceded just before half-time was very annoying. We are disappointed with the result.,regular loss,regular loss
337,"The game was a bit like a friendly game. We had to run a lot, run a lot, run a lot. We had too many ball losses and didn't defend consistently enough.",regular loss,regular loss
338,"We got into the game well and had good access. But we also had the opportunity to take a point. We had a couple of chances in the second half, but we weren't good enough to take them.",regular loss,regular loss
339,"I think we played a really good game. The second half was better, the guys fought and defended well.",regular loss,regular loss
340,"We got into the game well. We had a lot of control in the first half, but then we got too many balls into the air. We didn't get our balls out of the counterattack as we normally do.",regular loss,regular loss
341,"The 0: 3 was a bit too high. After the break, the team was on its way to victory.",regular loss,regular loss
342,"I am of course very satisfied with the game, I am satisfied with the result and the performance of my team. That was clearly seen in the second half. It was clear that it was going to be a very difficult game. We were very dominant in the first half, but then we made too many simple mistakes. We were too passive in the second half, but then we didn't defend properly. We have to be much smarter than we are today.",regular loss,regular loss
343,"It was a very difficult game, especially in the first half when we had the guts to take the lead. In the second half we did a little better, but the penalty decision was far too high.",regular loss,regular loss
344,We played very well and created scoring opportunities. Unfortunately we missed the last punch. We have to accept the defeat.,regular loss,regular loss
345,"We got into the game well, but lost the ball in front of the goal well. It was a bit like the 0: 3 before the break. We didn't defend well forward, but in the end it was a bit too high.",regular loss,regular loss
346,"We got into the game well, but we missed the last pass. We have to get better at that.",regular loss,regular loss
347,I am very disappointed. It was a deserved 1-1 for Wolfsburg. We had a good structure and had a good grip.,regular loss,regular loss
348,"We had a lot of the ball under control and we were good at the game of transition. But you also have to make it 1-0 through a set piece. We weren't that good at the game of transition, but we were good at it.",regular loss,regular loss
349,"We are disappointed. It wasn't a deserved win, but we did very well. We didn't have the punch against the ball. We didn't do a lot of things well.",regular loss,regular loss
350," played a really good first half and deservedly took the lead. After the equalization, Wolfsburg was more and more stable.",tie,regular loss
351, saw an excellent game. I am very happy with my team's performance. We played very well forward and could have scored more goals.,tie,regular loss
352," played very well in the first half, but we didn't make it out to be. In the second half we didn't get a grip and played well forward. The 2-0 is okay.",tie,regular loss
353,"'m happy with the point. We did well in the first half, but we didn't score. We were better in the second half, but we didn't score a goal.",tie,regular loss
354," first half was pretty much the best of my coaching career. After that I didn't see anything but a good game from my team. We played well, defended well and were well organized. The 0: 3 was also a good start for us. After the 0: 4, the doorbell rings again, we are overjoyed.",tie,regular loss
355, am very satisfied with my team’s performance. We did very well in the first half. We played well forward and had two great chances. The draw is okay.,tie,regular loss
356, had a really good first half and deservedly took the lead. In the second half we got more control and had a great chance to score.,tie,regular loss
357," played a good game. It was very difficult to create scoring opportunities. We had a lot of control in the first half. After the equalization, we were too passive, we have to work on that.",tie,regular loss
358, have to be satisfied with the point. We didn't have the punch in the first half. The 1-0 was a nice snapshot after a game in which we played very well.,tie,regular loss
359," was an absolutely deserved home win for us. We didn't get into the game well in the first half, but we didn't take advantage of our numerous chances. The 1: 1 was a bit too easy. We didn't take advantage of the few chances to score.",tie,regular loss
360," was a very intense game, both in terms of play. The 2-0 was very annoying. The second half was much better, with a lot of power. We have shown that we can play football as we want.",tie,regular loss
361, got into the game very well and had good access. In the second half we lost a little of our ease and we didn't get our game under control.,tie,regular loss
362," got into the game well and were able to make it 2-0. In the end, we have to make the goal. It was a very, very difficult game for us.",tie,regular loss
363, am very satisfied with the result and the performance of my team. We have set a good record for both rooms. The win is very important to us. We will work on that.,tie,regular loss
364,"'s a very interesting game. We had big plans for it, but we didn't make it out of the game. We had a lot of good moments in the second half, but we missed them entirely.",tie,regular loss
365," am satisfied. We had a very good first half and had good control of the game. After the break, we discussed a few things. We had a great phase with two well-rested players. We have to get used to that.",tie,regular loss
366," first half was pretty good, the second was pretty good. The first half was pretty good, but not great. The second half was pretty good, but not great.",tie,regular loss
367, think the point is well deserved. We had a very good first half and were able to use the momentum to our advantage.,tie,regular loss
368," am of course very happy that we were able to stay in the game. We had a great start in the first half. After the 2-0 win, we had a lot of possession and could have led 2-0. We are happy to take the three points with us.",tie,regular loss
369,'m very happy with the point. It was a game that was far from what we wanted it to be. We had a lot of control in the first half and were very dangerous. The goal is okay.,tie,regular loss
370," had to be patient. We didn't have the punch and the game plan. It was a very, very difficult game. The 1: 1 is okay, the 2: 1 is okay.",tie,regular loss
371," was a very intense game from both sides. Both teams tried to play forward and were able to keep the distance. We had a lot of control over the game, we had a lot of possession in the second half. It was important that we played to the front and not allow too much.",tie,regular loss
372," was a game with a lot of flow and determination. It was very, very difficult for us to find the gap. The 2-0 was very important.",tie,regular loss
373," are extremely happy with the point. It was a game with a lot of flow, determination and camaraderie. I'm happy with the point, but also with the way the team behaved.",tie,regular loss
374," have a lot of things to do, but we still have to get the three points. It's a matter of getting the three. We still have to get the three points. It's a matter of getting the three.",tie,regular loss
375, had a very good first half with great efficiency. But we didn't get into the game well and were then dangerous in the duels. The 1-0 win was the turning point.,tie,regular loss
376, was a game where we had the chance to make it 1-0. In the second half we switched from diamond to diamond. It was very difficult for us to defend with a single-digit lead. The point is fine for us. But I can't blame the team for anything.,tie,regular loss
377," played a very good first half and had a great opportunity to make it 2-0. After the break, the team processed the situation and took the positive with them. It was a tough and competitive game with a lot of individual class.",tie,regular loss
378, have to take some time to digest this defeat and deal with the fact that we haven't capitalized on our opportunities. We are of course disappointed. It's a shame that we didn't take anything with us.,tie,regular loss
379, played a good first half and created a lot of chances. After half-time we were too passive and had to be patient. After half-time we made it 2-0 and it wasn't a good performance.,tie,regular loss
380," are very happy with the point we made. We had a lot of possession in the first half and were able to make it 2-0. The win was deserved, the team showed their morale and deservedly won the game.",tie,regular loss
381,"'s an extremely intense game, both at home and at the front. Both have to work really hard against such an opponent. It's not easy for a team like Bayern, they have to be very present at the front.",tie,regular loss
382," am very satisfied with the game. We didn't manage to break the knot at the beginning, but after that we had a lot of possession and had good chances to score. We had a lot of chances to score, but then unfortunately we didn't make it 2-0. That was very, very annoying.",tie,regular loss
383," got into the game very well and had good access. After the 0-1 we played more patiently. In the end, the 0: 2 falls like a punch.",tie,regular loss
384,'m happy that we were able to take a point with us. We didn't play a great game in the first half. We had to run a lot and sprint a lot. It's a shame we couldn't take anything here.,tie,regular loss
385," had a lot of the ball in the first half, but we didn't make it through the bulwark against the ball. It was an open game. In the second half, we got the game under control and played very well forward.",tie,regular loss
386, saw a very intense game. Both teams wanted to win. It was a good performance by my team. We had the necessary amount of control over the game in the first half.,tie,regular loss
387, were clearly the better team for over 90 minutes. We were the better team for 60 minutes. We were in a similar situation in the first half.,tie,regular loss
388, are disappointed with the result. We played a very good game. We had the necessary number of chances. It was a very good performance for our team. We have to keep believing in ourselves until the end. We have to keep believing in ourselves until the end.,tie,regular loss
389," result is okay. We didn't play a good game in the first half, but we did better in the second half. In the end we deserved to win.",tie,regular loss
390," had a very good first half with a good presence and an open plan. We were also a little lucky in the last third. In the end we deserved to win, but it's not an easy task.",tie,regular loss
391," played a really good first half with the right punch. We didn't get the third goal and we were a little lucky with the second goal. We're disappointed with the result, but I'm very disappointed. We have to be realistic.",tie,regular loss
392, are very happy with the point. We have shown that we can handle difficult situations. We have shown that we can handle difficult situations. We have shown that we can handle difficult situations. We have shown that we can handle difficult situations. We have shown that we can handle difficult situations.,tie,regular loss
393," have to get our heads up and run. If we do the second goal well, we will still be in the game.",tie,regular loss
394," am very disappointed. We did well in the first half, but the last pass was missing. We have to live with the point.",tie,regular loss
395," were lucky in one or the other situation, but the point is worth a lot. We didn't play as well as we were in the first half. We weren't good enough at football, we didn't have enough concentration. We're not making good progress, we're not doing so well.",tie,regular loss
396," played very well, especially in the first half. We were too passive in the second half, but we could have taken the lead. We had to be more passive in the second half, but we could have scored a goal or two. It was important for us that we scored at least three points.",tie,regular loss
397, was a very intense game. Both teams tried to win and lost. We had a lot of control over the game. We had the ball and had a lot of control in the second half. We were lucky that we weren't countered with a goal.,tie,regular loss
398, got into the game well and had good access. The 1-0 is a good start for us. We are happy to take this point with us.,tie,regular loss
399," disappointment is there because we didn't get into the game well. It was a disastrous first half for us. In the second half we had more possession and had more possession. In the end, the game was decided by standards.",tie,regular loss
400,"We played a good game and created good chances. But it wasn't an undeserved victory. In the end, I am satisfied with the result and the performance.",regular win,regular loss
401,I am very happy with the game. It was an important win for us. The three goals conceded in the first half are very nice. We have to go into the break with a 1-0 win. We have to keep believing in ourselves and try to keep improving.,regular win,regular loss
402,"I'm very happy with the game, but not with the way it went. We didn't allow anything and had three good chances. We were lucky in one or the other situation, but we should have scored the goal. We had a lot of control in the first half, but we couldn't get the ball out of the counter-pressing well.",regular win,regular loss
403,"I'm happy with the game, but not with the way the team performed. I think we set out to win this game. I'm very happy with the way we performed and we want to win this game.",regular win,regular loss
404,"We are very happy with the win, we had the feeling that we could land the game against a very good team.",regular win,regular loss
405,"The win was very important. We played well, had good control and were very dangerous. It was a very important victory for Hoffenheim.",regular win,regular loss
406,It was a really good game from both teams. The guys did an outstanding job. It was a really great game from both teams. We played well forward and were really good at switching. We had two very good chances.,regular win,regular loss
407,"We were a bit disappointed with the first half, we didn't defend well together. The first half was better, we defended well. After the break, we got the game under control.",regular win,regular loss
408,"I am very satisfied with the result. We were able to keep the pressure up for over 90 minutes. We played really well, defended well, even if there was some space for error.",regular win,regular loss
409,"We were the better team for 60 minutes, then we were the worse team for 60 minutes. That's why we were the better team for 60 minutes. The win is deserved, we showed the right reaction.",regular win,regular loss
410,"We got into the game really well and had good access to the ball. After conceding the goal, we were very tense. After that we had more control. In the second half it was clear to me that it was going to be a very difficult game.",regular win,regular loss
411,We were lucky in one or two situations. We didn't allow much in the first half. We were very effective in the second half.,regular win,regular loss
412,"It's a really nice win, especially in the first half. We weren't aggressive enough, we didn't have the punch. We had good ball safety and had a good penetration.",regular win,regular loss
413,It was a tough game. The team implemented everything that we set out to do. We wanted to show what we can do offensively against the ball and also defend well. We succeeded. We were the team that makes it difficult for anyone to be in the middle of the field. That is why we are satisfied.,regular win,regular loss
414,We are very happy about the three points. The win is absolutely fine. We had to work hard for it. We were always one step late when we lost the game.,regular win,regular loss
415,"We had good control in the first half, then we lost our nerve. In the second half we had more control, but also had more control in the second half. In the end it was a very deserved win.",regular win,regular loss
416,The game was absolutely fine. But we were also lucky in one or the other situation. We weren't as good as we imagined. It's a great end to an outstanding season for us.,regular win,regular loss
417,We are very happy. We had to play our way into the second half and then unfortunately we weren't good enough with the ball. That was a huge achievement.,regular win,regular loss
418,"I am very satisfied. It was an exciting, competitive game with ups and downs. It was an intense and competitive game with ups and downs. We have invested a lot. The guys did everything right for over 90 minutes.",regular win,regular loss
419,"It was a really nice game with a lot of speed and determination. The second half was better, the 3-1 was more than fair. It was important that we kept calm and stayed up after the break.",regular win,regular loss
420,"It's a very special feeling. The first half was absolutely fine. After that we were still good at the game, but we should have scored the third goal in the second half. The win was absolutely deserved.",regular win,regular loss
421,"I am very satisfied with the result and the way we played. We had more chances to score than against Leverkusen. We had the luck we needed, we were efficient, had the punch and had the ease. I am very satisfied with the performance.",regular win,regular loss
422,"We had a good mentality in the first half and deservedly took the lead. We didn't allow many chances and had two easy balls. We had to score two more goals in the second half to get the point. The victory is deserved, it's a deserved win.",regular win,regular loss
423,"We got into the game well and were very effective. After the break, we had the chance to make it 2-0 and the equalizer was in our hands. We are very happy with the win, but also with the way the team performed. We were in the game for a long time, but we didn't want to let the ball run.",regular win,regular loss
424,"It was an incredibly difficult game, but I am happy with the performance of my team. We were very patient and had good control of the game. I also want to highlight the good moments after the 0-1 win in Frankfurt. We played really well, wanted to get ahead, were efficient and had good circulation.",regular win,regular loss
425,"It was a very intense game with a lot of speed, determination and a great atmosphere in the stadium. It wasn't easy to control the game. We had a lot of control over the game in the first half and had a lot of control over the game. We then go into the second half with a lot of speed and determination.",regular win,regular loss
426,"We had the chance to take the lead and had the opportunity to score our first goal. It was an even game, we didn't allow much and didn't dare to press the goal. We have to be very careful with that. We have to keep our nerve in order to achieve our goal of staying in the league.",regular win,regular loss
427,"We knew it was going to be a very difficult game. We were always the more dangerous team for over 90 minutes. It wasn't easy. We had a lot of control over the game, but the guys fought and performed well.",regular win,regular loss
428,"I'm proud of the guys for their commitment and commitment. I'm particularly happy that we scored the opening goal. After the 1-0 win, the whole team came together and showed their morale.",regular win,regular loss
429,"We got into the game really well, but also because we didn't allow many shots on goal. It's not like we're winning the game.",regular win,regular loss
430,It was a very intense game. We wanted to play aggressively and aggressively against the ball. We had a lot of control in the first half. We were very dominant in the second half. The 2-0 win is a good start for us.,regular win,regular loss
431,It's a really nice win. The guys did everything right for over 90 minutes. The second half was really great.,regular win,regular loss
432,"We had to be patient. We didn't play well in the first half. We had two huge chances, one from the corner. We had one or two great chances. We had to be patient. We have to get our heads free.",regular win,regular loss
433,"We got into the game well, but didn't make it through the first half. We had little control in the second half, but then we created scoring opportunities. We had a lot of chances to score, but we didn't take our chances.",regular win,regular loss
434,"I am of course very satisfied. We have set an excellent record for the first 35 minutes of the game. The first half was very wild, we didn't allow much, we played bravely and then we lost the ball too easily. We deserved to win.",regular win,regular loss
435,"The team played a really good game and had a great mentality. I'm very satisfied, it was a good performance from us. We had the luck we needed, but also had the luck we needed. The win is deserved.",regular win,regular loss
436,"We had a good structure, the guys gave everything, but we couldn't get any more out of it. We weren't that good defensively, we didn't do well in the second half.",regular win,regular loss
437,"We are of course very happy that we have finally qualified for the European Cup. It was important that we didn't get involved and lost the ball. We played a very, very good game, and we really wanted to win.",regular win,regular loss
438,"It's a great win that we had a lot of possession in the first half. The second half was better, the win was deserved at height. The victory is deserved, the team has shown their commitment.",regular win,regular loss
439,It was an absolutely deserved win. It was an absolutely deserved win. It was an absolutely deserved win. It was an absolutely deserved win.,regular win,regular loss
440,"I'm happy with the three points. We didn't get into the game well in the first half, and then we weren't good enough. We had to play more patiently and counterattacks. In the end, we were a little lucky in the end, but overall we deserved to win.",regular win,regular loss
441,"We were the better team for over 90 minutes, but the first half was better. After the break, we showed a different face than before. We deserved to win, we did a lot of things right up to the penalty area.",regular win,regular loss
442,"We knew it would be a difficult game. But we did it very, very well. We were the better team for over 70 minutes.",regular win,regular loss
443,"We are very happy. We were the luckier in the first half. It was an even game. It was an even game. We are very happy. We had a really good second half, especially in the first half when we had the absolute best phase in a long time.",regular win,regular loss
444,"We are very happy with the win. We did very well in the first half, we played bravely and created scoring opportunities. We should have made it 2-0 earlier. The 1-0 win was a bit too late. The 1: 1 was a bit too easy.",regular win,regular loss
445,"We got into the game really well, especially in the first half. After the break we were a little lucky in the second half. We are happy that we won, but we can't say too much about the last situation.",regular win,regular loss
446,We are very happy about the three points. The guys have shown that they can do very well together. It was a well-deserved victory.,regular win,regular loss
447,"It was a very interesting game. We had good control in the first half and were very present in the second half. After the break, we made one or two corrections in the second half. We did very well in the second half and deserved to win.",regular win,regular loss
448,"We got into the game well, we had a good grip and had a good grip. But we weren't sure of the ball enough and didn't dare to run too much. The 0: 3 is okay.",regular win,regular loss
449,"We had a good grip on the game and were able to use the set pieces very well. The second half was better, the third was better. The 1-0 is a good sign for our attitude.",regular win,regular loss
450," I am very satisfied with the result. We played a really good game and had good access to the ball. We had the opportunity to score the second goal, but unfortunately the 0: 1 falls by a standard.",dominant win,regular loss
451," I am of course very satisfied with the result. The second half was better, the third was better. I'm very satisfied with the way the team behaved. We were very stable and clever in the first half, then we missed a little change of play.",dominant win,regular loss
452, I am happy with the performance of my team. It was a strong performance from Augsburg and we are very happy with the way the team performed. It was very difficult for the first 20 minutes and we had a lot of possession. We didn't allow much. We had a lot of control in the second half and were very dominant. The team showed a reaction after the break.,dominant win,regular loss
453," We had to work very hard to get the points. We were the better team for 60 minutes, then the game might not have ended well for us. We didn't want to go into the break with a 0-0 draw. That was an open exchange of blows.",dominant win,regular loss
454, We did a lot of things right and created scoring chances. But we also had a good phase in the second half. We had good access and were very dangerous in the second half.,dominant win,regular loss
455," We knew it was going to be a very difficult game. In the first half we didn't manage to bring the pace to the limit. We had to press hard, but the 1-0 win was the icing on the cake. We are happy that we won.",dominant win,regular loss
456," It was an extremely difficult game, especially in the first half. We didn't take advantage of our numerous set pieces and didn't have the punch. We didn't do enough to win the ball, but the team did a lot of things right up to the penalty area.",dominant win,regular loss
457, It was a difficult game. The team has always believed in something special. We had a lot of quality in the first half. We then have to score the second goal at the right moment.,dominant win,regular loss
458," We were really happy that we won this game. We had problems in the first half, but then we got the game under control. The 2-0 win gave us a lot of confidence. We were very aggressive and clever.",dominant win,regular loss
459, I am very satisfied. We played a good game and were very effective. It was important for us that we stayed out of the break as quickly as possible. The win was very important to us.,dominant win,regular loss
460," We are very happy about the three points. We didn't have to worry about relegation either. It was a very, very cohesive team effort. We are very happy about the three points. We were very compact, very present, very compact.",dominant win,regular loss
461," We played a very good first half with a lot of aggressiveness. The second half was better, but we had little to lose. We had a lot of good chances.",dominant win,regular loss
462," It was a very difficult game. We didn't get into the game well. We didn't get into the game well, but we could have been more open and defended better. The team showed their morale on the offensive, so the victory is deserved.",dominant win,regular loss
463, I am very satisfied. We have shown that we can handle the game. It was an intense game with a lot of speed and force. We were able to put pressure on.,dominant win,regular loss
464, We were a little lucky at the beginning. The first goal we conceded was to score the third goal. That was an excellent first half for us. We are happy that we won and that we are going into the European Cup as a whole.,dominant win,regular loss
465," It was a very difficult game for us. We had problems defending Dortmund's front line. We had problems with the quickness of the counterattack, so we were not that lucky. We had a lot of chances to score and the players did a lot of things right.",dominant win,regular loss
466," It's a very, very important victory for us. It was important that we remained patient and focused. We wanted to build on the second half of the season, and now it's time to build on that.",dominant win,regular loss
467," I'm very happy with the three points. We didn't allow a lot, even if we had the game under control. The team did very well in the first half, we were really good at the game.",dominant win,regular loss
468, I am very happy about the three points. It was a great performance for the audience and helped us. We did very well in the first half.,dominant win,regular loss
469, I am very satisfied with the result and the way the team performed. We didn't play as well as we wanted.,dominant win,regular loss
470," The win was absolutely deserved, we were the more dangerous team for over 90 minutes. It was a great performance by my team, I'm very happy about that.",dominant win,regular loss
471, It was an exciting game with ups and downs. The first half was certainly the worst of my coaching career. In the second half it was clear that it was going to be a very difficult game. We were able to build up the game in the second half. It's a great feeling to be able to build up the game with so many points.,dominant win,regular loss
472, We are extremely satisfied. We have achieved great things. We are very satisfied. It was a well-deserved victory for Augsburg. We didn't look good.,dominant win,regular loss
473," It was a difficult game for us. It wasn't easy, we had a lot of possession and created a lot of chances. We were very effective in the second half, but we couldn't take the lead.",dominant win,regular loss
474," I am very happy. We had to win the game and we could have scored two or three more goals. It was a very, very important win for us.",dominant win,regular loss
475," The first half was very good, we dominated the game for over 90 minutes. It was important to score early and keep calm. After the break we had the feeling that we were in a good situation.",dominant win,regular loss
476, It was a really great game from the first minute to the last. I think the team did a really good job. We have shown that we can work together. We have to be realistic in our approach.,dominant win,regular loss
477," We were lucky with the first two chances, then it got tricky for us. We were lucky with the first two chances, then it got tricky for us. We weren't good enough when it came to scoring chances. The 1-0 win was a good start.",dominant win,regular loss
478, We are very happy with the three points. It was a great first half for us. We could have scored three or four more goals in the second half. The win was very important. We didn't allow much in the second half.,dominant win,regular loss
479, We are very happy with the result and the way we performed. We were a little too passive after the break. We had too many simple ball losses and couldn't create scoring chances. We are happy that we have finally rewarded ourselves.,dominant win,regular loss
480, It's a really nice win. The guys gave everything. We didn't allow much. We had a couple of good moments in the second half.,dominant win,regular loss
481, We were very well organized and had great control in the first half. After half-time we got better and better access. After half-time we got better access to the ball. We didn't have a lot of scoring chances and didn't score a goal.,dominant win,regular loss
482, I'm very satisfied. We have set a goal that we want to reach again next year. I'm very happy that we are able to stay in the league. We wanted to win all the games in the first half of the season.,dominant win,regular loss
483, It was a very difficult game. We didn't play as well as we had in the first half. We had a lot of possession and created a lot of chances. I think we deserved to win.,dominant win,regular loss
484," It was a very difficult game, we were a bit too passive in the first half. We were the happier team for over 90 minutes. The 3-1 win was very important for our victory.",dominant win,regular loss
485," I'm proud of the guys for the hard work they did over the past few years. We did it really well. It was an exciting, engaging game with a lot of ups and downs.",dominant win,regular loss
486," We had to be more consistent in our assignment and were able to use the chances. We played a good first half, then unfortunately it was a corner kick that we missed. But we are very satisfied.",dominant win,regular loss
487," It was a very difficult game. The first half was very wild. We had two or three great chances, but we didn't score the third goal in the process. We were in a precarious situation and had to defend the front. The team did well.",dominant win,regular loss
488, I am of course very satisfied. We are not going to sit back and analyze this game with statistics. We have already invested a lot. The win was deserved.,dominant win,regular loss
489," The win is deserved, even if it does not entirely undeserved. We had good control in the first half and created a lot of chances. After the break we had the chance to make it 2-0 and then it was 2-1. The second half was better.",dominant win,regular loss
490," We played a really good first half and had a great chance to score. It was an absolutely deserved win. We had the chance to equalize, that's the most important thing. We have to win this game.",dominant win,regular loss
491, I am extremely happy with the three wins. We have set a milestone today that will allow us to stay in the league. It's a great day for the fans and we hope that we can keep up with the top teams. We're happy that we're now back in Europe and are now the first team in the Bundesliga.,dominant win,regular loss
492, I'm very satisfied. I've had the feeling that we had to win this game. I'm particularly happy that we have finally rewarded ourselves. I'm especially happy that we have rewarded ourselves so passionately.,dominant win,regular loss
493, It was a very difficult game. We had good control and we had good access. But I can't blame the boys. I don't blame them for that.,dominant win,regular loss
494," It was a great game for the fans, who had invested a lot. We are very happy that we are finally getting back to where we were before.",dominant win,regular loss
495," We were lucky in one or the other situation. The first half was better, the second was better. We had the luck we needed, but it was not easy.",dominant win,regular loss
496, It's an extremely important win for us. We have shown that we can still achieve great things with the ball. We have a lot of work to do.,dominant win,regular loss
497," We played a good first half with the ball out of the blue. But we didn't play well forward and had a difficult situation. It was a difficult game. We had to score more goals. In the end, it was a good performance.",dominant win,regular loss
498, We played a very good first half and had good chances. After the break we were in the game and played very well forward. We are happy that we won the opening game.,dominant win,regular loss
499," We played a really good game with the ball. We had good control of the game and were able to keep Gladbach out of the game in one or the other situation. I am very happy, that's great.",dominant win,regular loss
500,"We got into the game really well. We played well forward and had access. But we weren't good enough at the front. The second half was better, but the win was still deserved.",dominant loss,tie
501,"We were too passive, we didn't defend well. It was an even game. We didn't defend well.",dominant loss,tie
502,We are disappointed that we lost this game. We had a good grip on the game and did not let ourselves be pulled down.,dominant loss,tie
503,The first half an hour was like a tennis game. The second half an hour was like a tennis game. The first half an hour was like a tennis game. The second half an hour was like a tennis game.,dominant loss,tie
504,"The result is very disappointing for us. We didn't get into the game well, especially in the first half. We weren't good enough when we came back. In the second half we were even better.",dominant loss,tie
505,"We had a lot of control in the first half and created a lot of chances. We were a little lucky in one or the other situation, but we didn't allow much. After the equalization, we got a little more control. It's bitter that we didn't reward ourselves enough.",dominant loss,tie
506,The team showed a good reaction after falling behind. We didn't play as well as we imagined. We did better after the break. We had the chance to equalize and then we got the 0: 1 too quickly. We are disappointed because we didn't play as well as we imagined.,dominant loss,tie
507,"I am very disappointed. We have had to accept a very difficult game. In the end, of course, we were right to accept the defeat.",dominant loss,tie
508,We are disappointed and disappointed. We are disappointed. We didn't have the precision to make it 1-0. It was a difficult game.,dominant loss,tie
509,"We are very disappointed, we weren't good enough. We were the better team for over 90 minutes, that was a catastrophe. The 1: 1 was a bit too high. We were too passive, we weren't brave enough.",dominant loss,tie
510,I am not satisfied with the result. We did better in the first half and had more control of the game. We should have won the game.,dominant loss,tie
511,"We are disappointed. It wasn't our best performance, it was our worst performance in three games. We weren't as dominant as we were last time. We have to get the points.",dominant loss,tie
512,We were the worse team for 90 minutes. We didn't defend well together and played too passively. We did better in the second half and deserved to win.,dominant loss,tie
513,"We didn't take anything with us, we just had the opportunity to play football. We're going to have to learn from that. The bottom line was that we didn't win the game. That's why we're not satisfied today.",dominant loss,tie
514,"We had a really good day today, but it was also a bit strange that we weren't allowed to move the ball. We weren't sure of the ball enough, so we had to be very patient. We weren't the most dominant team in Leverkusen, but we had the necessary luck.",dominant loss,tie
515,I saw a good Bundesliga game. In the first half I didn't have the strength to move the game. In the second half it was very open and Bayern had two big chances.,dominant loss,tie
516,The decisive factor was that we lost. It was a game with very little punch. We have to be much smarter than that. We have to score more goals. The 2-0 is not okay.,dominant loss,tie
517,"The team showed a great reaction after conceding a goal like this. We had the opportunity to do something for ourselves. It wasn't easy for Freiburg, who then put pressure on. We were very dominant. The win is deserved.",dominant loss,tie
518,"We had a very good first half and had good access. But we then played out the phases too easily. We didn't want to get into the duels and didn't have the ball enough. We played to win, to be honest, it's a shame because we had more options.",dominant loss,tie
519,"It was a very intense game with a clear dominance in the first half. In the second half we didn't show anything but a good feeling. We had a few chances to score, but after the break we were too passive. The win is deserved in the end.",dominant loss,tie
520,"I am very disappointed. The disappointment is not due to us, but to the team. We were the happier team for over 90 minutes. We are disappointed with the result, but not with the result.",dominant loss,tie
521,"The first half was definitely a success for us. We weren't good in the first half, but we didn't attack consistently enough. We were the happier team. We have to accept the defeat.",dominant loss,tie
522,We are disappointed. We wanted to win the game and we succeeded. We wanted to win the game and we succeeded.,dominant loss,tie
523,"We were too passive and didn't have the precision to be effective. That was a setback today. We had two big chances, then we get the 0: 1. We didn't get the balls out of the center line, then we get the goal. It's not like I'm jumping over the point because I'm not getting into any details.",dominant loss,tie
524,"It's a very, very bitter defeat. We didn't get what we wanted. We weren't good enough. We were not good enough at football. We weren't good enough at football.",dominant loss,tie
525,It was an open exchange of blows. We had a good phase. But the bottom line was that we did not allow anything more. We had a lot of options.,dominant loss,tie
526,"We didn't deserve this defeat, we deserved more. We had a good phase in the second half. But I can't blame the boys. The performance is not deserved.",dominant loss,tie
527,The first half was not so good. We had a lot of possession in the first half and then created a lot of chances. After that we didn't defend well and played badly. We deserved to lose.,dominant loss,tie
528,"It's not a nice situation for us. We were clearly the worse team for 90 minutes. We didn't play well in the first half. After we equalized, the Dortmund player got angry again and again. We didn't get the points.",dominant loss,tie
529,"It's a very bitter defeat. We were the better team for over 90 minutes. The only other action we can take now is to regenerate. It is very, very bitter. We're all in a very difficult situation.",dominant loss,tie
530,"We are of course disappointed. We were the better team for 60 minutes, then the game could have gone either way. We have to apologize to the fans.",dominant loss,tie
531,It was an even game. We had the chance to take the lead in the second half. It was a bit lucky that the others didn't lose their heads.,dominant loss,tie
532,"It's a deserved defeat because we played a very good away game for over 90 minutes. We were clearly better in the second half, but it was clear to us in the first half that we were nowhere near the limit of our possibilities. It's a deserved defeat because we played a very good away game.",dominant loss,tie
533,"We have to get off to a good start in the second half. We have to get out of the way quickly and have to make the right decisions before the break. The 2-0 is a bit too high, then we are down. The goal is missing. We need a little luck on our side, that's what we're missing.",dominant loss,tie
534,"It was a well-deserved defeat. The first half was certainly a bit lucky in terms of layout, but overall I am very happy with the performance of my team.",dominant loss,tie
535,We are very disappointed. We didn't play a good game. We were the more dangerous team for over 90 minutes. The team did well.,dominant loss,tie
536,"We played a very good game and should have won. The 1-0 was very important, we made it 1-0. But we weren't the worse team. We didn't play well, we didn't defend intelligently and didn't create scoring chances. We were lucky that we didn't get the goals ourselves.",dominant loss,tie
537,"We didn't play a good game today, we were better. In the second half we didn't do enough to win a duel.",dominant loss,tie
